Categoria;Fabricante;Cód.;Modelo;Combustivel;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
TABELA A – CARROS;RENAULT;111085,00;RENAULT CLIO AUT1616VS;G;;;;;;;;;;;;;;;;;;;R$ 17.078,00;R$ 14.636,00;;;;;
TABELA A – CARROS;RENAULT;111042,00;RENAULT VEL SATIS P V6;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 23.270,00
TABELA A – CARROS;RENAULT;111041,00;RENAULT LAGUNA GRAN V6;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 23.850,00
TABELA A – CARROS;RENAULT;111036,00;RENAULT CLIO RT 1.6;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 11.746,00
TABELA A – CARROS;RENAULT;111033,00;RENAULT MEGANE RXE 2.0;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 13.676,00;R$ 12.583,00
TABELA A – CARROS;RENAULT;111031,00;RENAULT MEGANE RT 1.6;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 10.411,00;R$ 10.145,00
TABELA A – CARROS;RENAULT;111011,00;RENAULT LAGUNA V6;G;;;;;;;;;;;;;;;;;;;;;R$ 25.851,00;;;;R$ 16.055,00
TABELA A – CARROS;RENAULT;111110,00;CLIO RN 1.6 16V;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 10.567,00
TABELA A – CARROS;RENAULT;111175,00;MEGANESD EXP 20A;G;;;;;;;;;;;;;;;;;;R$ 25.339,00;R$ 22.422,00;R$ 21.268,00;;;;;
TABELA A – CARROS;RENAULT;111109,00;SCENIC RT1.6 16V;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 12.896,00;R$ 11.984,00
TABELA A – CARROS;RENAULT;111176,00;MEGANEGT PRI 20A;G;;;;;;;;;;;;;;;;;;R$ 28.711,00;R$ 26.296,00;;;;;;
TABELA A – CARROS;RENAULT;111063,00;RENAULT G ESPACE I35V6;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 27.091,00;
TABELA A – CARROS;RENAULT;111097,00;RENAULT MEGANE CC 20 A;G;;;;;;;;;;;;;;;;;;;R$ 48.827,00;R$ 44.803,00;R$ 36.003,00;;;;
TABELA A – CARROS;RENAULT;111094,00;RENAULT CLIO AUT 16H3P;G;;;;;;;;;;;;;;;;;;;;R$ 14.040,00;R$ 13.266,00;;;;
TABELA A – CARROS;RENAULT;111093,00;RENAULT CLIO EXP 16H3P;G;;;;;;;;;;;;R$ 32.179,00;;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;111089,00;RENAULT CLIO EXP1616VS;G;;;;;;;;;;;;;;;;;;;R$ 14.976,00;R$ 14.524,00;R$ 12.826,00;;;;
TABELA A – CARROS;RENAULT;111080,00;RENAULT MEGANE2SDDY20;G;;;;;;;;;;;;;;;;;;;;;;R$ 15.298,00;;;
TABELA A – CARROS;RENAULT;111184,00;MEGANEGT EXPR 16;G;;;;;;;;;;;;;;;;;R$ 27.768,00;R$ 24.155,00;R$ 21.964,00;;R$ 20.596,00;;;;
TABELA A – CARROS;RENAULT;111087,00;RENAULT CLIO AUT1616VH;G;;;;;;;;;;;;;;;;;;;R$ 16.180,00;R$ 14.301,00;;;;;
TABELA A – CARROS;RENAULT;111096,00;RENAULT LOGAN;G;;;;;;;;;;;;;;;;R$ 18.806,00;;;;R$ 16.517,00;R$ 15.386,00;;;;
TABELA A – CARROS;RENAULT;111192,00;SANDERO EXP1616V;G;;;;;;;;;;;;;;;;;;;R$ 18.413,00;;;;;;
TABELA A – CARROS;RENAULT;111191,00;SANDERO PRI1616V;G;;;;;;;;;;;;;;;;;R$ 22.317,00;R$ 20.693,00;R$ 19.342,00;R$ 17.781,00;;;;;
TABELA A – CARROS;RENAULT;111189,00;LOGAN EXP 1016V;G;;;;;;;;;;;;;;R$ 22.946,00;R$ 21.573,00;R$ 19.543,00;R$ 18.424,00;R$ 16.755,00;R$ 15.614,00;R$ 14.242,00;;;;;
TABELA A – CARROS;RENAULT;111188,00;LOGAN AUT 1016V;G;;;;;;;;;;;;;;R$ 20.997,00;R$ 20.291,00;R$ 19.017,00;R$ 16.485,00;R$ 15.163,00;R$ 14.357,00;R$ 12.792,00;;;;;
TABELA A – CARROS;RENAULT;111187,00;LOGAN EXP 1616V;G;;;;;;;;;;;;;;;;;;;R$ 17.274,00;;;;;;
TABELA A – CARROS;RENAULT;111098,00;RENAULT MEGANE HT 20 A;G;;;;;;;;;;;;;;;;;;;;;R$ 21.435,00;;;;
TABELA A – CARROS;RENAULT;111186,00;LOGAN PRI 1616V;G;;;;;;;;;;;;;;;;;;R$ 19.117,00;R$ 16.782,00;R$ 15.819,00;;;;;
TABELA A – CARROS;RENAULT;167000,00;SANDERO AUT 16;G;;;;;;;;;;;;;;;;;R$ 17.810,00;R$ 17.164,00;R$ 15.580,00;R$ 15.213,00;;;;;
TABELA A – CARROS;RENAULT;167014,00;LOGAN EXP 16 HP;G;;;;;;;;;;;;;;R$ 25.841,00;R$ 23.138,00;;;;;;;;;;
TABELA A – CARROS;RENAULT;167013,00;SANDERO SW1616VA;G;;;;;;;;;;;;;R$ 36.656,00;R$ 31.622,00;R$ 29.883,00;R$ 29.249,00;;;;;;;;;
TABELA A – CARROS;RENAULT;167011,00;SANDERO PR1616VA;G;;;;;;;;;;;;;R$ 33.014,00;R$ 29.446,00;R$ 26.798,00;R$ 25.943,00;;;;;;;;;
TABELA A – CARROS;RENAULT;167008,00;LOGAN EX 1616V A;G;;;;;;;;;;;;R$ 31.489,00;;R$ 27.303,00;R$ 24.899,00;R$ 23.902,00;;;;;;;;;
TABELA A – CARROS;RENAULT;167006,00;SANDERO GTLINE;G;;;;;;;;;;;;;;;R$ 24.843,00;R$ 23.594,00;R$ 22.899,00;;;;;;;;
TABELA A – CARROS;RENAULT;167005,00;SANDERO STEPWAY;G;;;;;;;;;;;;;R$ 33.597,00;R$ 30.858,00;R$ 28.146,00;R$ 26.000,00;R$ 24.129,00;R$ 23.108,00;R$ 22.201,00;;;;;;
TABELA A – CARROS;RENAULT;167004,00;SCENIC CAM 1616V;G;;;;;;;;;;;;;;;;;;;R$ 19.135,00;R$ 16.856,00;;;;;
TABELA A – CARROS;RENAULT;167003,00;LOGAN PRI 16;G;;;;;;;;;;;;;;;;;R$ 20.083,00;R$ 18.441,00;R$ 17.158,00;R$ 15.399,00;;;;;
TABELA A – CARROS;RENAULT;167001,00;SANDERO EXP 16;G;;;;;;;;;;;;;;R$ 25.529,00;R$ 24.093,00;R$ 21.627,00;R$ 19.716,00;R$ 18.753,00;R$ 17.874,00;R$ 16.368,00;;;;;
TABELA A – CARROS;RENAULT;167019,00;SANDERO STW 16HP;G;;;;;;;;;;;;;R$ 30.580,00;R$ 28.085,00;R$ 26.211,00;;;;;;;;;;
TABELA A – CARROS;RENAULT;164049,00;RENAULT ZOE INT MA 8;G;;;;;;;;;;;;R$ 65.276,00;;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;164048,00;RENAULT FLUENCE DYN PL;G;;;;;;;;;;;R$ 65.876,00;R$ 59.945,00;;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;164047,00;RENAULT FLUENCE GTLINE;G;;;;;;;;;;;R$ 67.848,00;R$ 65.934,00;R$ 63.568,00;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167034,00;SANDERO 20 RS;G;;;;;;;;;;;R$ 49.899,00;R$ 46.976,00;;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;164044,00;RENAULT ZOE ZEN ZE;G;;;;;;;;;;;;;;;;;;;;;;;R$ 25.561,00;;
TABELA A – CARROS;RENAULT;167002,00;SANDERO PRI 16;G;;;;;;;;;;;;;;R$ 27.377,00;R$ 25.511,00;R$ 23.381,00;R$ 21.077,00;R$ 18.990,00;R$ 18.305,00;R$ 16.880,00;;;;;
TABELA A – CARROS;RENAULT;167030,00;SANDERO DYNA 16R;G;;;;;;;;;;;R$ 42.589,00;R$ 38.018,00;R$ 35.848,00;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;164043,00;RENAULT ZOE INTENS ZE;G;;;;;;;;;;;;R$ 82.097,00;R$ 77.411,00;R$ 72.992,00;;;;;;;;R$ 25.867,00;R$ 24.390,00;;
TABELA A – CARROS;RENAULT;167036,00;LOGAN EXPR 10;G;;;;;;;;;;;R$ 41.130,00;;;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167024,00;LOGAN EXPR 16 R;G;;;;;;;;;;;R$ 42.123,00;R$ 39.482,00;R$ 37.228,00;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167025,00;LOGAN DYNA 16 R;G;;;;;;;;;;;R$ 42.682,00;R$ 39.910,00;R$ 39.278,00;R$ 37.869,00;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167026,00;SANDERO AUTH 10;G;;;;;;;;;;;R$ 31.682,00;R$ 29.929,00;R$ 28.684,00;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167027,00;SANDERO DYNA 16;G;;;;;;;;;;;R$ 41.206,00;R$ 37.573,00;R$ 35.428,00;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167028,00;SANDERO EXPR 16;G;;;;;;;;;;;R$ 36.185,00;R$ 33.768,00;R$ 32.903,00;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167017,00;SANDERO PRI 16HP;G;;;;;;;;;;;;;R$ 31.901,00;R$ 27.409,00;R$ 25.160,00;;;;;;;;;;
TABELA A – CARROS;RENAULT;167035,00;SANDERO 16GTLINE;G;;;;;;;;;;;R$ 39.708,00;R$ 38.693,00;;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167016,00;SANDERO EXP 16HP;G;;;;;;;;;;;;;R$ 29.807,00;R$ 25.806,00;R$ 23.917,00;;;;;;;;;;
TABELA A – CARROS;RENAULT;167031,00;SANDERO EXPR 10;G;;;;;;;;;;;R$ 33.768,00;R$ 31.153,00;R$ 30.057,00;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167032,00;SANDERO STEP 16;G;;;;;;;;;;;R$ 47.366,00;R$ 43.659,00;R$ 39.115,00;R$ 33.686,00;R$ 29.012,00;;;;;;;;;;
TABELA A – CARROS;RENAULT;167033,00;SANDERO STEP 16R;G;;;;;;;;;;;R$ 46.833,00;R$ 43.731,00;R$ 41.235,00;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167023,00;LOGAN EXPR 1016V;G;;;;;;;;;;;R$ 34.727,00;R$ 32.736,00;R$ 30.302,00;R$ 23.592,00;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167022,00;LOGAN AUTH 1016V;G;;;;;;;;;;;R$ 33.768,00;R$ 28.040,00;R$ 25.544,00;R$ 20.997,00;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167021,00;LOGAN DYNA 16 M;G;;;;;;;;;;;R$ 41.687,00;R$ 38.938,00;R$ 35.738,00;R$ 35.116,00;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167020,00;LOGAN EXPR 16 M;G;;;;;;;;;;;R$ 37.453,00;R$ 34.712,00;R$ 32.593,00;R$ 25.841,00;;;;;;;;;;;
TABELA A – CARROS;RENAULT;167018,00;SANDERO GTL 16HP;G;;;;;;;;;;;;;R$ 31.535,00;R$ 27.518,00;R$ 25.537,00;;;;;;;;;;
TABELA A – CARROS;RENAULT;167029,00;SANDERO EXPR 16R;G;;;;;;;;;;;R$ 37.175,00;R$ 35.748,00;R$ 33.691,00;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;164017,00;RENAULT CLIO CAM 10H3P;G;;;;;;;;;;;;;;R$ 17.724,00;R$ 16.881,00;R$ 16.078,00;R$ 13.450,00;R$ 12.689,00;R$ 12.098,00;;;;;;
TABELA A – CARROS;RENAULT;164031,00;RENAULT FLUENCE PRI20A;G;;;;;;;;;;;R$ 68.881,00;R$ 64.241,00;R$ 52.574,00;R$ 45.222,00;R$ 40.630,00;R$ 39.324,00;R$ 37.811,00;;;;;;;;
TABELA A – CARROS;RENAULT;164030,00;RENAULT FLUENCE DYN20A;G;;;;;;;;;;;R$ 64.583,00;R$ 56.638,00;R$ 45.252,00;R$ 39.850,00;R$ 37.299,00;R$ 35.235,00;R$ 33.511,00;;;;;;;;
TABELA A – CARROS;RENAULT;164029,00;RENAULT FLUENCE EXP20M;G;;;;;;;;;;;;;;;;;R$ 28.649,00;;;;;;;;
TABELA A – CARROS;RENAULT;164028,00;RENAULT FLUENCE DYN20M;G;;;;;;;;;;;R$ 61.373,00;R$ 50.285,00;R$ 42.441,00;R$ 38.028,00;R$ 35.653,00;R$ 34.588,00;R$ 33.175,00;;;;;;;;
TABELA A – CARROS;RENAULT;164026,00;RENAULT SAFRANE LE;G;;;;;;;;;;;;;;;;;R$ 38.267,00;;;;;;;;
TABELA A – CARROS;RENAULT;164025,00;RENAULT KOLEOS;G;;;;;;;;;;;;;;;;;R$ 28.783,00;;;;;;;;
TABELA A – CARROS;RENAULT;164024,00;RENAULT ESPACE 7PL;G;;;;;;;;;;;;;;;;;R$ 34.553,00;;;;;;;;
TABELA A – CARROS;RENAULT;164021,00;RENAULT SYMBOL EXPR 16;G;;;;;;;;;;;;;;;;;R$ 18.896,00;R$ 17.429,00;R$ 16.017,00;;;;;;
TABELA A – CARROS;RENAULT;164033,00;RENAULT FLUENCE EXP20A;G;;;;;;;;;;;;;;;;;R$ 35.458,00;;;;;;;;
TABELA A – CARROS;RENAULT;164018,00;RENAULT SYMBOL EX1616V;G;;;;;;;;;;;;;;R$ 22.803,00;R$ 21.713,00;R$ 20.675,00;R$ 19.298,00;R$ 18.903,00;R$ 17.633,00;;;;;;
TABELA A – CARROS;RENAULT;164012,00;RENAULT GRAND SCENIC;G;;;;;;;;;;;;;;;;;;;R$ 26.372,00;R$ 25.476,00;;;;;
TABELA A – CARROS;RENAULT;164015,00;RENAULT CLIO CAM1016VH;G;;;;;;;;;;;;;;R$ 18.821,00;R$ 17.927,00;R$ 17.075,00;R$ 14.292,00;R$ 13.583,00;R$ 13.190,00;;;;;;
TABELA A – CARROS;RENAULT;164042,00;RENAULT MEGANERS RS265;G;;;;;;;;;;;;;;R$ 106.291,00;;;;;;;;;;;
TABELA A – CARROS;RENAULT;164011,00;RENAULT CLIO EXP1016VS;G;;;;;;;;;;;;;;;;;;;R$ 14.595,00;R$ 13.713,00;;;;;
TABELA A – CARROS;RENAULT;164046,00;RENAULT MEGANE RS3J1K1;G;;;;;;;;;;;;;R$ 42.441,00;;;;;;;;;;;;
TABELA A – CARROS;RENAULT;164006,00;RENAULT CLIO PRI1016VS;G;;;;;;;;;;;;;;;;;;;R$ 14.805,00;R$ 14.245,00;;;;;
TABELA A – CARROS;RENAULT;164004,00;RENAULT CLIO AUT1016VS;G;;;;;;;;;;;;;;;;;;;R$ 13.756,00;R$ 13.212,00;;;;;
TABELA A – CARROS;RENAULT;164003,00;RENAULT CLIO EXP1016VH;G;;;;;;;;;;;R$ 26.964,00;R$ 23.726,00;R$ 22.123,00;R$ 19.407,00;R$ 17.068,00;;;;;;;;;;
TABELA A – CARROS;RENAULT;164001,00;RENAULT CLIO AUT 10H3P;G;;;;;;;;;;;;R$ 18.848,00;R$ 17.310,00;R$ 15.897,00;R$ 15.397,00;R$ 14.586,00;R$ 13.819,00;R$ 13.093,00;R$ 12.405,00;R$ 11.852,00;;;;;
TABELA A – CARROS;RENAULT;164019,00;RENAULT SYMBOL PR1616V;G;;;;;;;;;;;;;;R$ 25.002,00;R$ 22.868,00;R$ 21.748,00;R$ 19.192,00;R$ 17.887,00;R$ 16.918,00;;;;;;
TABELA A – CARROS;RENAULT;164007,00;RENAULT CLIO AUT1016VH;G;;;;;;;;;;;;R$ 21.549,00;R$ 19.791,00;R$ 18.175,00;R$ 17.603,00;R$ 16.851,00;R$ 15.469,00;R$ 14.201,00;R$ 13.037,00;R$ 12.136,00;;;;;
TABELA A – CARROS;RENAULT;164035,00;RENAULT FLUENCE EXP 16;G;;;;;;;;;;;;;R$ 32.218,00;R$ 29.728,00;R$ 27.988,00;R$ 26.586,00;;;;;;;;;
TABELA A – CARROS;RENAULT;164041,00;RENAULT FLUENCE ZE DYN;G;;;;;;;;;;;;;R$ 42.484,00;;;;;;;;;;R$ 26.098,00;;
TABELA A – CARROS;RENAULT;164040,00;RENAULT MEGANERS RL265;G;;;;;;;;;;;;;;R$ 103.118,00;;;;;;;;;;;
TABELA A – CARROS;RENAULT;164037,00;RENAULT FLUENCE GT20;G;;;;;;;;;;;;;R$ 58.587,00;R$ 50.144,00;R$ 49.594,00;;;;;;;;;;
TABELA A – CARROS;REVA;162200,00;REVA ELECTRIC CHI;G;;;;;;;;;;;;;;;;;;;;R$ 20.381,00;;;;;
TABELA A – CARROS;REVA;162202,00;REVA LHD STD;G;;;;;;;;;;;;;;;;;;;R$ 21.928,00;;;;;;
TABELA A – CARROS;REVA;162201,00;REVA LHD DLX;G;;;;;;;;;;;;;;;;;;;R$ 24.371,00;;;;;;
TABELA A – CARROS;ROLLS ROYCE;136601,00;ROLLS ROYCE DROPHEAD C;G;;;;;;;;;;;;;;;;;;R$ 931.384,00;;;;;;;
TABELA A – CARROS;ROLLS ROYCE;136605,00;ROLLS ROYCE WRAITH;G;;;;;;;;;;;;;R$ 2.919.363,00;;;;;;;;;;;;
TABELA A – CARROS;ROLLS ROYCE;136600,00;ROLLS ROYCE GHOST;G;;;;;;;;;;;;R$ 2.525.117,00;R$ 1.643.387,00;R$ 1.450.368,00;R$ 1.288.001,00;R$ 1.083.803,00;R$ 1.015.761,00;;;;;;;;
TABELA A – CARROS;ROLLS ROYCE;111164,00;ROLLS ROYCE PHANTOM;G;;;;;;;;;;;;;;;R$ 962.102,00;R$ 907.082,00;;R$ 792.485,00;R$ 632.618,00;;;R$ 527.468,00;;;
TABELA A – CARROS;ROLLS ROYCE;101164,00;ROLLS ROYCE PHANTOM DC;G;;;;;;;;;;;;;;;;;;;R$ 1.190.645,00;;;;;;
TABELA A – CARROS;ROLLS ROYCE;136603,00;ROLLS ROYCE PHANTOM S2;G;;;;;;;;;;;;R$ 1.299.653,00;;R$ 1.214.792,00;R$ 1.146.428,00;;;;;;;;;;
TABELA A – CARROS;SATURN;146904,00;SATURN ION;G;;;;;;;;;;;;;;;;;;;;;R$ 19.012,00;;;;
TABELA A – CARROS;SATURN;146901,00;SATURN SKY;G;;;;;;;;;;;;;;;;;;;R$ 28.376,00;R$ 26.760,00;R$ 23.290,00;;;;
TABELA A – CARROS;SATURN;146902,00;SATURN SKY RED LINE;G;;;;;;;;;;;;;;;;;;R$ 120.519,00;R$ 107.372,00;;;;;;
TABELA A – CARROS;SCION;114863,00;SCION HATCHBACK TC;G;;;;;;;;;;;;;R$ 118.883,00;;;;;;;;;;;;
TABELA A – CARROS;SCION;114833,00;SCION IQ 3;G;;;;;;;;;;;;;;;;R$ 38.222,00;;;;;;;;;
TABELA A – CARROS;SEAT;151110,00;SEAT IBIZA 16V;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 9.554,00
TABELA A – CARROS;SELVAGEM;141801,00;L;G;;;;;;;;;;;;;;;;;;;;;;;R$ 6.859,00;R$ 6.290,00;
TABELA A – CARROS;SELVAGEM;141803,00;SELVAGEM SOL;G;;;;;;;;;;;;;;R$ 12.245,00;R$ 11.690,00;R$ 10.707,00;R$ 10.477,00;R$ 9.686,00;R$ 9.153,00;R$ 8.099,00;;;;;
TABELA A – CARROS;SELVAGEM;141802,00;S;G;;;;;;;;;;;;R$ 21.311,00;;R$ 19.749,00;R$ 19.211,00;R$ 18.302,00;R$ 15.929,00;R$ 14.732,00;R$ 11.357,00;R$ 10.373,00;R$ 9.494,00;R$ 8.572,00;R$ 8.147,00;R$ 7.472,00;R$ 7.175,00
TABELA A – CARROS;SHELBY;108395,00;SHELBY GT 500 COUPE;G;;;;;;;;;;;;;;;;R$ 169.626,00;R$ 154.110,00;R$ 152.108,00;;;R$ 125.251,00;;;;
TABELA A – CARROS;SKODA;111404,00;SKODA OCTAVIA;D;;;;;;;;;;;;;;;;;;;R$ 51.996,00;;;;;;
TABELA A – CARROS;SKODA;111405,00;SKODA FABI 1.2 BST OF;G;;;;;;;;;;;;;R$ 26.560,00;;;;;;;;;;;;
TABELA A – CARROS;SMART;155016,00;SMART FORTWO PASSION C;G;;;;;;;;;;;;;;;;;;;R$ 30.344,00;;;;;;
TABELA A – CARROS;SMART;155021,00;SMART FORTWO MHD;G;;;;;;;;;;;;;;;R$ 36.023,00;R$ 33.963,00;R$ 29.492,00;R$ 28.012,00;;;;;;;
TABELA A – CARROS;SMART;155013,00;SMART FORTWO PULSE C;G;;;;;;;;;;;;;;;;;;;R$ 33.521,00;;;;;;
TABELA A – CARROS;SMART;155015,00;SMART FORTWO CABRIOLET;G;;;;;;;;;;;;;;;;;;R$ 35.694,00;R$ 31.973,00;R$ 28.486,00;;;;;
TABELA A – CARROS;SMART;155017,00;SMART FORTWO COUPE 62;G;;;;;;;;;;;;R$ 55.902,00;R$ 51.425,00;R$ 43.327,00;R$ 41.999,00;R$ 40.687,00;R$ 32.825,00;R$ 32.370,00;R$ 30.736,00;;;;;;
TABELA A – CARROS;SMART;155018,00;SMART FORTWO CA 62;G;;;;;;;;;;;;R$ 59.527,00;R$ 55.268,00;R$ 48.235,00;R$ 44.376,00;R$ 42.854,00;R$ 37.377,00;R$ 35.893,00;R$ 32.879,00;;;;;;
TABELA A – CARROS;SMART;155019,00;SMART FORTWO 72;G;;;;;;;;;;;;;;;;;;R$ 25.779,00;R$ 24.252,00;;;;;;
TABELA A – CARROS;SMART;155020,00;SMART FORTWO CABRIO BR;G;;;;;;;;;;;;;;;;;;;R$ 25.728,00;;;;;;
TABELA A – CARROS;SMART;155012,00;SMART FORTWO PASSION;G;;;;;;;;;;;;;;;;;;;R$ 34.762,00;;;;;;
TABELA A – CARROS;SMART;155023,00;SMART FORTWO COUPE 72;G;;;;;;;;;;;;;;;;;R$ 39.960,00;R$ 37.425,00;;;;;;;
TABELA A – CARROS;SMART;155024,00;SMART FORTWO CO 52 MHD;G;;;;;;;;;;;;R$ 43.528,00;R$ 39.977,00;R$ 36.715,00;R$ 34.966,00;R$ 32.473,00;R$ 29.161,00;;;;;;;;
TABELA A – CARROS;SMART;155025,00;SMART FORTWO CA 52 MHD;G;;;;;;;;;;;;;;;;;R$ 37.513,00;;;;;;;;
TABELA A – CARROS;SMART;155027,00;SMART FORTWO 75 CA;G;;;;;;;;;;;;;;;R$ 46.177,00;R$ 43.537,00;;;;;;;;;
TABELA A – CARROS;SMART;155029,00;SMART FORTWOEDCOUPE;G;;;;;;;;;;;;;R$ 41.310,00;;;;;;;;;;;;
TABELA A – CARROS;SMART;155014,00;SMART FORTWO PULSE;G;;;;;;;;;;;;;;;;;;;R$ 31.004,00;;;;;;
TABELA A – CARROS;SMART;155022,00;SMART FORTWO CA 72;G;;;;;;;;;;;;;;;;;R$ 30.601,00;;;;;;;;
TABELA A – CARROS;SMART;155028,00;SMART ELETRIC DRIVE;G;;;;;;;;;;;;;;R$ 48.544,00;;;;;;;;;;;
TABELA A – CARROS;SPYKER;123200,00;SPYKER C8 LAVIOLETTE;G;;;;;;;;;;;;;;;;;;R$ 589.868,00;;;;;;;
TABELA A – CARROS;SSANGYONG;150704,00;SSANGYONG CHAIRMAN CW7;G;;;;;;;;;;;;;;;R$ 62.220,00;;;;;;;;;;
TABELA A – CARROS;"SSFIBER-
GLASS";160201,00;SS41;G;;;;;;;;;;;;;;R$ 20.213,00;R$ 19.059,00;;R$ 15.017,00;R$ 13.559,00;;R$ 12.226,00;R$ 11.722,00;R$ 11.135,00;;;
TABELA A – CARROS;"SSFIBER-
GLASS";160200,00;SS34;G;;;;;;;;;;;;R$ 22.312,00;R$ 20.945,00;R$ 20.725,00;R$ 20.506,00;;R$ 17.953,00;R$ 17.243,00;R$ 16.322,00;R$ 15.219,00;R$ 13.958,00;R$ 13.037,00;R$ 12.417,00;R$ 11.955,00;
TABELA A – CARROS;SUBARU;139346,00;SUBARU IMPREZA SWWRX;G;;;;;;;;;;;;;;;;;;;R$ 58.569,00;R$ 53.662,00;R$ 51.128,00;R$ 46.542,00;R$ 43.982,00;R$ 38.689,00;R$ 38.405,00
TABELA A – CARROS;SUBARU;139355,00;SUBARU OUTBACK 2.5 L;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 18.889,00;
TABELA A – CARROS;SUBARU;139339,00;SUBARU LEGACY OUT BACK;G;;;;;;;;;;;;;;;;;;;;;;R$ 32.898,00;R$ 27.830,00;R$ 21.827,00;R$ 20.054,00
TABELA A – CARROS;SUBARU;139340,00;SUBARU LEGACY GX;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 21.714,00
TABELA A – CARROS;SUBARU;139343,00;SUBARU IMPREZA SW20GX;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 27.420,00
TABELA A – CARROS;SUBARU;139344,00;SUBARU IMPREZA 20GX;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 22.038,00
TABELA A – CARROS;SUBARU;139345,00;SUBARU IMPREZA WRX;G;;;;;;;;;;;;;;;;;R$ 58.406,00;R$ 52.399,00;R$ 43.347,00;R$ 39.471,00;R$ 35.338,00;R$ 30.950,00;R$ 29.318,00;R$ 26.245,00;R$ 24.248,00
TABELA A – CARROS;SUBARU;139347,00;SUBARU FORESTER AWD;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 21.357,00
TABELA A – CARROS;SUBARU;139351,00;SUBARU LEGACY GX H6;G;;;;;;;;;;;;;;;;;R$ 65.941,00;R$ 61.132,00;R$ 54.555,00;R$ 48.827,00;R$ 45.972,00;R$ 39.608,00;R$ 30.492,00;;
TABELA A – CARROS;SUBARU;139348,00;SUBARU FORESTER STURBO;G;;;;;;;;;;;;;;;;;;;;;;R$ 32.464,00;R$ 26.109,00;R$ 24.904,00;R$ 22.058,00
TABELA A – CARROS;SUBARU;139354,00;SUBARU B9 TRIBECA;G;;;;;;;;;;;;;;;;;;;;R$ 48.332,00;;;;;
TABELA A – CARROS;SUBARU;139356,00;SUBARU IMPREZA 2.0L;G;;;;;;;;;;;;;;;;;R$ 32.848,00;R$ 29.549,00;R$ 27.871,00;R$ 25.799,00;;;;;
TABELA A – CARROS;SUBARU;139357,00;SUBARU IMPREZA 1.5L;G;;;;;;;;;;;;;;;;;;;R$ 25.694,00;R$ 22.308,00;;;;;
TABELA A – CARROS;SUBARU;139358,00;SUBARU IMPREZA WRX 25T;G;;;;;;;;;;;;;;;;;;;R$ 49.704,00;;;;;;
TABELA A – CARROS;SUBARU;139359,00;SUBARU IMPREZA STI;G;;;;;;;;;;;;;;R$ 148.291,00;R$ 142.412,00;R$ 129.793,00;R$ 123.043,00;R$ 106.418,00;R$ 99.323,00;;;;;;
TABELA A – CARROS;SUBARU;139360,00;SUBARU IMPREZA WRX 265;G;;;;;;;;;;;;;;R$ 90.493,00;R$ 80.793,00;R$ 79.408,00;R$ 63.424,00;;R$ 57.118,00;;;;;;
TABELA A – CARROS;SUBARU;139376,00;SUBARU LEGACY 3.6 R-S;G;;;;;;;;;;;;R$ 131.725,00;;;;;;;;;;;;;
TABELA A – CARROS;SUBARU;139353,00;SUBARU LEGACY OUTBACK6;G;;;;;;;;;;;;;;;;;R$ 59.770,00;R$ 55.030,00;R$ 48.415,00;R$ 39.685,00;R$ 39.438,00;R$ 36.860,00;;;
TABELA A – CARROS;SUBARU;139377,00;SUBARU OUTBACK 3.6 R-S;G;;;;;;;;;;;R$ 128.320,00;R$ 123.730,00;;;;;;;;;;;;;
